Interval=	1e-005 s
ExcelDateTime=	4.3567675005861012e+004	12/04/2019 16:12:00.506391
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	optrode	electrode	temp	Channel 4
Range=	10.000 V	10.000 V	10.000 V	10.000 V
UnitName=	mV	µV	V	V
TopValue=	10.00	10000.00	0.10	10.00
0.0011	-0.525	-112.8125	0.0214	0.0003125
0.00111	-0.49625	-96.25	0.02140313	0.0003125
0.00112	-0.448125	-51.5625	0.02139688	0.0009375
0.00113	-0.3959375	-12.5	0.0214	0.0009375
0.00114	-0.3596875	0	0.02139375	0.000625
0.00115	-0.3359375	11.25	0.02139063	0
0.00116	-0.308125	26.875	0.02139063	0.0003125
0.00117	-0.28875	22.5	0.02139688	0.0003125
0.00118	-0.2915625	11.25	0.02139688	0.0003125
0.00119	-0.2840625	13.4375	0.02139375	0
0.0012	-0.245625	37.8125	0.02139063	0.000625
0.00121	-0.2025	71.25	0.0214	0
0.00122	-0.1665625	92.5	0.0214	0.000625
0.00123	-0.145	94.6875	0.02139688	0.0003125
0.00124	-0.1396875	83.75	0.02139375	0.000625
0.00125	-0.1396875	68.75	0.02139063	0.0003125
0.00126	-0.134375	67.8125	0.02138438	0.0009375
0.00127	-0.121875	70	0.02139063	0.000625
0.00128	-0.101875	74.6875	0.02139688	0.000625
0.00129	-0.071875	91.875	0.02139063	0.000625
0.0013	-0.0496875	96.875	0.02139375	0.000625
0.00131	-0.040625	89.375	0.02139375	0.0003125
0.00132	-0.03125	88.125	0.0213875	0
0.00133	-0.013125	93.75	0.02139063	0.0003125
0.00134	0.0034375	95.3125	0.02139063	0.0003125
0.00135	0.0109375	95.625	0.02139063	-0.0003125
0.00136	0.016875	89.375	0.02139063	0.000625
0.00137	0.0240625	87.1875	0.0213875	0.0003125
0.00138	0.044375	102.8125	0.02139063	0.000625
0.00139	0.0675	111.5625	0.02139063	0.000625
0.0014	0.075625	109.0625	0.02139063	0.0003125
0.00141	0.0890625	116.5625	0.02139063	0.0003125
0.00142	0.110625	123.125	0.02139063	0.000625
0.00143	0.116875	123.75	0.02139063	0.0003125
0.00144	0.1240625	122.5	0.02139063	0.0003125
0.00145	0.12375	111.25	0.02139063	0
0.00146	0.125625	108.4375	0.02139063	0.0009375
0.00147	0.1359375	110	0.0213875	0.000625
0.00148	0.138125	102.8125	0.02138438	0
0.00149	0.1271875	90.9375	0.02139063	0.0003125
0.0015	0.1384375	97.8125	0.02139063	0.0003125
0.00151	0.1584375	109.375	0.0213875	0.0003125
0.00152	0.17125	118.125	0.02139375	0.0003125
0.00153	0.1846875	118.4375	0.0213875	0.0003125
0.00154	0.1865625	115.3125	0.0213875	0.000625
0.00155	0.188125	115	0.02139375	0.0003125
0.00156	0.1928125	111.875	0.02139063	0
0.00157	0.1990625	110.3125	0.02139375	0.000625
0.00158	0.18625	86.25	0.02138438	0.0003125
0.00159	0.1728125	73.125	0.02139063	0
0.0016	0.1859375	80.625	0.02138438	0.0003125
0.00161	0.2028125	85.9375	0.02139063	0.0003125
0.00162	0.2025	76.875	0.02139375	0.0003125
0.00163	0.20125	78.4375	0.02138438	0.0003125
0.00164	0.2190625	91.5625	0.02139375	0.0003125
0.00165	0.22625	90.3125	0.02139063	0.000625
0.00166	0.215	68.75	0.02139063	0.0003125
0.00167	0.20125	52.8125	0.0213875	0.000625
0.00168	0.201875	52.8125	0.0213875	0.000625
0.00169	0.215	59.375	0.02139063	0.0003125
0.0017	0.2290625	66.875	0.02139375	0.000625
0.00171	0.248125	79.375	0.02138438	0.000625
0.00172	0.2534375	75.3125	0.02139375	0.0003125
0.00173	0.245	62.1875	0.02139063	0.000625
0.00174	0.2359375	46.875	0.02139375	0.0003125
0.00175	0.219375	25.9375	0.02139063	0.0003125
0.00176	0.1903125	0.9375	0.02139063	0.000625
0.00177	0.1696875	-27.8125	0.0213875	-0.0003125
0.00178	0.1465625	-60.625	0.02139063	0.0003125
0.00179	0.1325	-73.4375	0.02139063	0.0009375
0.0018	0.1353125	-70.625	0.02139063	0.00125
0.00181	0.1528125	-52.1875	0.02139063	0.0003125
0.00182	0.171875	-34.375	0.02139063	0.000625
0.00183	0.176875	-40	0.02139375	0.0003125
0.00184	0.176875	-49.6875	0.02139375	0.0003125
0.00185	0.175	-53.4375	0.02139063	0.000625
0.00186	0.16625	-68.125	0.02139063	0.000625
0.00187	0.1596875	-73.75	0.02139063	0.000625
0.00188	0.1634375	-69.0625	0.0213875	0.0003125
0.00189	0.1684375	-71.25	0.02139375	0.000625
0.0019	0.1721875	-70.625	0.02139063	0.000625
0.00191	0.1759375	-66.875	0.02139063	0.000625
0.00192	0.1775	-72.1875	0.0213875	0.0003125
0.00193	0.1653125	-85.3125	0.0213875	0.0003125
0.00194	0.1590625	-95.625	0.0213875	0.0003125
0.00195	0.1515625	-108.125	0.02139688	0.0003125
0.00196	0.1384375	-120.625	0.02139063	0.000625
0.00197	0.1396875	-120	0.02139688	0.0003125
0.00198	0.1509375	-114.375	0.02139375	0.000625
0.00199	0.1371875	-130	0.02139063	0.0003125
0.002	0.12125	-148.125	0.02139063	0
0.00201	0.120625	-154.6875	0.0213875	0.000625
0.00202	0.125	-146.25	0.02139063	0.0003125
0.00203	0.13	-142.8125	0.02139375	0.0003125
0.00204	0.1328125	-145	0.02139375	0
0.00205	0.125625	-153.125	0.02139063	0.000625
0.00206	0.1121875	-170	0.02139688	0.0003125
0.00207	0.0984375	-184.6875	0.02139063	0
0.00208	0.0859375	-196.25	0.02139375	0.0003125
0.00209	0.0696875	-210.625	0.02139063	0.000625
0.0021	0.060625	-225	0.02139688	0.0009375
0.00211	0.0465625	-240	0.02139063	0.000625
0.00212	0.038125	-246.5625	0.02139375	0.0003125
0.00213	0.040625	-243.75	0.02139688	0.000625
0.00214	0.049375	-240.3125	0.02139063	0.000625
0.00215	0.05125	-243.75	0.02139063	0.0003125
0.00216	0.04125	-252.1875	0.02139688	0.000625
0.00217	0.0271875	-264.375	0.02140313	0.000625
0.00218	0.0203125	-270.625	0.0213875	0.0003125
0.00219	0.0165625	-275.9375	0.02139063	0.000625
0.0022	0.0071875	-285.3125	0.02139688	0.000625
0.00221	0.0075	-284.375	0.02139063	0.0003125
0.00222	0.0084375	-275.9375	0.02139375	0
0.00223	0.0290625	-254.375	0.02139375	0
0.00224	0.03	-259.6875	0.02139063	0.0009375
0.00225	0.009375	-277.8125	0.02139063	0.0003125
0.00226	0.0009375	-284.6875	0.02139375	0.000625
0.00227	0.005625	-280	0.02139688	0.0003125
0.00228	0.006875	-278.75	0.02139688	0.000625
0.00229	0.005625	-280.9375	0.0214	0.0003125
0.0023	-0.010625	-297.1875	0.02139688	0.000625
0.00231	-0.0384375	-327.1875	0.02139063	0.0003125
0.00232	-0.05625	-343.4375	0.02139375	0
0.00233	-0.05625	-340.3125	0.02139375	0.000625
0.00234	-0.04375	-326.25	0.02139375	0.000625
0.00235	-0.0253125	-306.25	0.02139688	0.0009375
0.00236	-0.0234375	-305.625	0.02139375	0
0.00237	-0.039375	-327.1875	0.02139375	0
0.00238	-0.045	-326.25	0.02139688	0.000625
0.00239	-0.0346875	-317.5	0.02139688	0.000625
0.0024	-0.04375	-331.5625	0.02139688	0.0003125
0.00241	-0.070625	-355.9375	0.02139688	0.0003125
0.00242	-0.0934375	-373.75	0.02140313	0.0003125
0.00243	-0.0975	-380.3125	0.02139375	0
0.00244	-0.1040625	-387.8125	0.02139375	0.000625
0.00245	-0.1303125	-408.125	0.02139375	-0.0003125
0.00246	-0.1425	-415.625	0.02139375	0.000625
0.00247	-0.136875	-410.625	0.02139688	0.000625
0.00248	-0.1475	-427.8125	0.02139688	0.0003125
0.00249	-0.1709375	-448.4375	0.02139063	0.000625
0.0025	-0.1746875	-440.9375	0.02139375	0.0003125
0.00251	-0.1528125	-419.375	0.02139688	0
0.00252	-0.1421875	-419.6875	0.0214	0.000625
0.00253	-0.1484375	-423.75	0.02139688	0.000625
0.00254	-0.1465625	-422.8125	0.02139688	0.0009375
0.00255	-0.1628125	-441.5625	0.0214	0.0003125
0.00256	-0.185	-455	0.02139688	0
0.00257	-0.17875	-442.8125	0.0214	0.0009375
0.00258	-0.159375	-422.1875	0.0214	0
0.00259	-0.1496875	-419.0625	0.02140313	0.0003125
0.0026	-0.1590625	-425.625	0.02139375	0
0.00261	-0.1621875	-422.8125	0.02139375	0.0003125
0.00262	-0.16125	-416.5625	0.02139688	0.0003125
0.00263	-0.1571875	-410.3125	0.02139688	0.0003125
0.00264	-0.12625	-379.375	0.02139375	0.000625
0.00265	-0.1028125	-364.375	0.02139688	0.000625
0.00266	-0.1065625	-368.75	0.02139688	0
0.00267	-0.1140625	-372.8125	0.02139375	0.0003125
0.00268	-0.1296875	-395	0.0214	0.0009375
0.00269	-0.1553125	-419.6875	0.02139688	0.000625
0.0027	-0.173125	-435.625	0.02139688	0.0003125
0.00271	-0.1840625	-441.875	0.02140313	0.000625
0.00272	-0.1740625	-430.625	0.02140938	0.0003125
0.00273	-0.1703125	-426.5625	0.0214	0.0003125
0.00274	-0.1653125	-422.5	0.02140313	0.0003125
0.00275	-0.165	-419.0625	0.02140313	0.0003125
0.00276	-0.1596875	-408.125	0.02139688	0.000625
0.00277	-0.1496875	-405.625	0.02139688	0.0003125
0.00278	-0.1490625	-403.125	0.02139688	0.000625
0.00279	-0.1453125	-396.875	0.02139688	0
0.0028	-0.1484375	-403.75	0.02139688	0
0.00281	-0.1534375	-410.3125	0.0214	0.0009375
0.00282	-0.1509375	-404.375	0.0214	0
0.00283	-0.161875	-417.5	0.0214	0.0003125
0.00284	-0.1734375	-429.375	0.02139688	0.000625
0.00285	-0.18375	-438.4375	0.0214	0.0003125
0.00286	-0.1978125	-451.5625	0.02139688	0.000625
0.00287	-0.205625	-462.1875	0.0214	0.000625
0.00288	-0.2103125	-468.75	0.02140313	0.0009375
0.00289	-0.2115625	-464.0625	0.0214	0.0009375
0.0029	-0.2034375	-454.375	0.02139688	0.0009375
0.00291	-0.1940625	-442.1875	0.02139688	0.0003125
0.00292	-0.1734375	-418.125	0.02139688	0.000625
0.00293	-0.1459375	-391.875	0.0214	0.000625
0.00294	-0.1334375	-387.8125	0.02140313	0.000625
0.00295	-0.149375	-402.5	0.02140313	0.000625
0.00296	-0.16	-411.875	0.0214	0.0003125
0.00297	-0.1634375	-414.0625	0.02139688	0.0003125
0.00298	-0.1625	-409.6875	0.02140625	0.000625
0.00299	-0.175	-427.1875	0.02139688	0.0003125
0.003	-0.1971875	-452.1875	0.02139375	0
0.00301	-0.2028125	-450.3125	0.02140313	0.0003125
0.00302	-0.1871875	-434.375	0.02139688	0.0003125
0.00303	-0.1775	-427.5	0.02139375	0.00125
0.00304	-0.1725	-420.625	0.02139688	0.000625
0.00305	-0.1665625	-413.125	0.02139688	0.0003125
0.00306	-0.1640625	-414.375	0.02140313	0.000625
0.00307	-0.1765625	-430.3125	0.0214	0
0.00308	-0.199375	-454.375	0.02140313	0.000625
0.00309	-0.21625	-468.4375	0.0214	0.0003125
0.0031	-0.210625	-451.875	0.02139688	0.000625
0.00311	-0.1840625	-429.6875	0.02139688	0.0003125
0.00312	-0.180625	-428.4375	0.02139688	0.000625
0.00313	-0.1753125	-421.5625	0.0214	0.0003125
0.00314	-0.1746875	-422.5	0.02139375	0.0003125
0.00315	-0.18375	-431.25	0.02139688	0.000625
0.00316	-0.1903125	-437.1875	0.0214	0
0.00317	-0.1928125	-440.625	0.02139688	0.0003125
0.00318	-0.1796875	-424.375	0.02139688	0.0003125
0.00319	-0.1646875	-413.4375	0.0214	0
0.0032	-0.168125	-418.4375	0.0214	0.0003125
0.00321	-0.1734375	-423.125	0.02139688	0.000625
0.00322	-0.173125	-422.5	0.02139688	0.0003125
0.00323	-0.17875	-432.8125	0.02139375	0.0003125
0.00324	-0.19	-441.25	0.02139688	0
0.00325	-0.1990625	-451.5625	0.0214	0.0009375
0.00326	-0.2009375	-450	0.02139688	0.0003125
0.00327	-0.1840625	-426.5625	0.02139375	0.000625
0.00328	-0.1671875	-413.125	0.02139375	0
0.00329	-0.1740625	-425.9375	0.0214	0.0009375
0.0033	-0.1990625	-446.25	0.02139375	0.000625
0.00331	-0.199375	-441.25	0.02139688	0.000625
0.00332	-0.19	-436.5625	0.0214	0.000625
0.00333	-0.19	-435.625	0.02139688	0.000625
0.00334	-0.1734375	-418.125	0.02139375	0.000625
0.00335	-0.16	-402.8125	0.02139688	0
0.00336	-0.1575	-401.875	0.0214	0.0003125
0.00337	-0.1690625	-415	0.02139688	0.000625
0.00338	-0.166875	-411.5625	0.0214	0.000625
0.00339	-0.1625	-415.625	0.02139063	0.0003125
0.0034	-0.18625	-441.5625	0.02139375	0.0003125
0.00341	-0.22	-470.3125	0.02139688	0
0.00342	-0.2415625	-480.9375	0.02139375	0.0003125
0.00343	-0.2284375	-463.75	0.02139688	0.0003125
0.00344	-0.205625	-445.625	0.02139688	0.0003125
0.00345	-0.194375	-436.875	0.02139375	0.0003125
0.00346	-0.1865625	-428.125	0.02139688	0.0009375
0.00347	-0.1853125	-425.3125	0.02140313	0.0009375
0.00348	-0.1765625	-417.1875	0.02139375	0.0009375
0.00349	-0.165	-412.8125	0.02139688	0.000625
0.0035	-0.1721875	-425.625	0.02139688	0.000625
0.00351	-0.1840625	-432.1875	0.02139688	0.000625
0.00352	-0.1728125	-418.4375	0.0214	0.000625
0.00353	-0.16875	-416.5625	0.02139688	0.000625
0.00354	-0.1753125	-423.125	0.02139688	0.0003125
0.00355	-0.1859375	-432.8125	0.02139375	0
0.00356	-0.184375	-429.0625	0.02139375	0.0009375
0.00357	-0.1765625	-424.6875	0.02139375	0.000625
0.00358	-0.1871875	-438.4375	0.02139375	0
0.00359	-0.199375	-445.625	0.02139688	0.000625
0.0036	-0.1934375	-431.5625	0.02139375	0.000625
0.00361	-0.1778125	-417.8125	0.02139375	0.000625
0.00362	-0.1815625	-427.1875	0.02139063	0.0003125
0.00363	-0.1890625	-433.125	0.02139375	0.0003125
0.00364	-0.18875	-432.1875	0.0213875	0.0009375
0.00365	-0.2046875	-449.6875	0.02139375	0.0003125
0.00366	-0.2065625	-442.5	0.02139063	0.0003125
0.00367	-0.1715625	-406.5625	0.02139688	0.0003125
0.00368	-0.1496875	-391.5625	0.02139688	0.000625
0.00369	-0.1578125	-399.0625	0.02139063	0.000625
0.0037	-0.16375	-404.0625	0.02139688	0.0003125
0.00371	-0.1709375	-414.0625	0.02139688	0.000625
0.00372	-0.1796875	-418.125	0.02139688	0.0009375
0.00373	-0.1775	-418.75	0.02139375	0.0009375
0.00374	-0.1778125	-419.6875	0.02139063	0.0003125
0.00375	-0.180625	-422.5	0.02139375	0.0003125
0.00376	-0.19	-432.1875	0.02139063	0.000625
0.00377	-0.195	-433.125	0.02139375	0.0003125
0.00378	-0.188125	-424.6875	0.02139688	0.0003125
0.00379	-0.181875	-418.4375	0.02139375	0.000625
0.0038	-0.17875	-417.5	0.02139063	0.000625
0.00381	-0.1728125	-417.5	0.0213875	0.0003125
0.00382	-0.17375	-419.375	0.02139375	0.000625
0.00383	-0.1721875	-414.375	0.0213875	0.0003125
0.00384	-0.163125	-405.9375	0.02139375	0.0003125
0.00385	-0.1640625	-408.75	0.02139063	0.0003125
0.00386	-0.1640625	-404.6875	0.02139375	0.000625
0.00387	-0.160625	-402.8125	0.02139063	0
0.00388	-0.1740625	-421.875	0.02139688	0
0.00389	-0.195	-439.0625	0.02139375	0.000625
0.0039	-0.2121875	-458.125	0.02139063	0.000625
0.00391	-0.228125	-473.125	0.02139063	0.000625
0.00392	-0.2275	-468.125	0.02139063	0.000625
0.00393	-0.215	-452.1875	0.02139375	0.0003125
0.00394	-0.2071875	-446.5625	0.02139063	0.0003125
0.00395	-0.1978125	-438.125	0.02139063	0.0003125
0.00396	-0.1878125	-432.1875	0.02139375	0.0003125
0.00397	-0.1940625	-439.0625	0.02139063	0.000625
0.00398	-0.1978125	-440	0.02139375	0.0003125
0.00399	-0.184375	-427.8125	0.02139063	0.000625
0.004	-0.1725	-415.625	0.02139375	0.000625
0.00401	-0.1703125	-416.5625	0.02139375	0.0003125
0.00402	-0.17375	-420.625	0.02139063	0
0.00403	-0.1728125	-420.3125	0.02139375	0.0003125
0.00404	-0.1640625	-412.1875	0.02139063	0
0.00405	-0.1725	-421.875	0.02139063	0.0003125
0.00406	-0.1809375	-424.0625	0.02139063	0
0.00407	-0.1703125	-412.1875	0.02139375	0.000625
0.00408	-0.15	-390.3125	0.02138438	0.0003125
0.00409	-0.1315625	-373.75	0.02139375	0.0003125
0.0041	-0.1371875	-390	0.0213875	0.0003125
0.00411	-0.16375	-413.125	0.02139375	0.000625
0.00412	-0.1734375	-414.0625	0.02139688	-0.0003125
0.00413	-0.1715625	-411.875	0.02139375	0.0003125
0.00414	-0.1640625	-405	0.02139375	0.000625
0.00415	-0.1615625	-402.8125	0.02139375	0.0003125
0.00416	-0.17	-416.25	0.02139063	0.000625
0.00417	-0.1925	-436.25	0.02139375	0.000625
0.00418	-0.2009375	-443.4375	0.02139688	0.0003125
0.00419	-0.21125	-454.6875	0.02139688	0
0.0042	-0.2209375	-465	0.02139688	0.0009375
0.00421	-0.2284375	-475.3125	0.02139375	0.000625
0.00422	-0.22875	-473.125	0.02139375	0.0003125
0.00423	-0.204375	-440.9375	0.02139063	0.000625
0.00424	-0.1734375	-411.25	0.02139063	0
0.00425	-0.168125	-410.625	0.02139375	0.000625
0.00426	-0.166875	-404.6875	0.02139375	0.0003125
0.00427	-0.1609375	-405.3125	0.02139375	0.0009375
0.00428	-0.17	-416.5625	0.02139375	0.000625
0.00429	-0.1703125	-416.875	0.02139375	0
0.0043	-0.1646875	-407.8125	0.02139688	0.0003125
0.00431	-0.1665625	-412.5	0.02139375	0.0009375
0.00432	-0.1790625	-422.1875	0.02139375	0.0009375
0.00433	-0.1925	-437.8125	0.02139688	0
0.00434	-0.2046875	-446.875	0.02139688	0.0009375
0.00435	-0.1940625	-432.8125	0.02139375	0.000625
0.00436	-0.1765625	-416.25	0.02139063	0.000625
0.00437	-0.1715625	-409.6875	0.02139688	-0.0003125
0.00438	-0.176875	-418.125	0.0213875	0.0009375
0.00439	-0.1975	-443.125	0.0214	0.0003125
0.0044	-0.2234375	-467.5	0.02139688	0.000625
0.00441	-0.23625	-478.4375	0.02139375	0.0003125
0.00442	-0.23625	-480.625	0.02139375	0.000625
0.00443	-0.2321875	-473.75	0.02139375	0.000625
0.00444	-0.2134375	-450.625	0.02139688	-0.0003125
0.00445	-0.1925	-430.3125	0.02139063	0.0003125
0.00446	-0.1840625	-425.625	0.02139375	0.0003125
0.00447	-0.1884375	-430.3125	0.02139063	0.0003125
0.00448	-0.188125	-430	0.02139375	0.000625
0.00449	-0.1834375	-426.5625	0.02139688	0.000625
0.0045	-0.183125	-426.875	0.02139375	0.0003125
0.00451	-0.17875	-418.75	0.02139375	0.0003125
0.00452	-0.15875	-395.3125	0.0214	0.000625
0.00453	-0.1346875	-375.625	0.02139688	0
0.00454	-0.1359375	-382.1875	0.02139688	0.000625
0.00455	-0.1496875	-396.25	0.02139688	0.0003125
0.00456	-0.161875	-409.0625	0.02139375	0.000625
0.00457	-0.1778125	-422.5	0.0214	0.000625
0.00458	-0.1928125	-440.3125	0.0214	0.0003125
0.00459	-0.2040625	-447.8125	0.02139688	0.0009375
0.0046	-0.210625	-453.125	0.02139375	0.0003125
0.00461	-0.2146875	-460	0.02139375	0.000625
0.00462	-0.2075	-453.125	0.02139375	0.0009375
0.00463	-0.20125	-446.5625	0.02139688	0.0003125
0.00464	-0.2	-444.6875	0.0214	0
0.00465	-0.20625	-452.8125	0.02139688	0
0.00466	-0.220625	-463.125	0.02139688	0.0003125
0.00467	-0.2296875	-470.3125	0.02139375	0.000625
0.00468	-0.23125	-472.1875	0.02139375	0.0003125
0.00469	-0.2296875	-473.4375	0.0214	0.0003125
0.0047	-0.22125	-462.8125	0.02139688	0.0003125
0.00471	-0.2	-441.25	0.02139688	0.000625
0.00472	-0.18875	-435	0.02139375	0
0.00473	-0.199375	-450.3125	0.02139375	0.0009375
0.00474	-0.219375	-466.5625	0.02139688	0.0003125
0.00475	-0.23	-471.25	0.02139688	0.0003125
0.00476	-0.218125	-457.8125	0.0214	0
0.00477	-0.20375	-445	0.02139375	0.0003125
0.00478	-0.191875	-432.1875	0.02139688	0.0003125
0.00479	-0.1834375	-422.8125	0.02139688	0.000625
0.0048	-0.1703125	-412.5	0.02139688	0.000625
0.00481	-0.1659375	-415.625	0.02139375	0.0003125
0.00482	-0.1775	-424.0625	0.02139375	0.0003125
0.00483	-0.1740625	-416.875	0.02139688	0.000625
0.00484	-0.16375	-407.5	0.02139375	0.0009375
0.00485	-0.16375	-410.625	0.02139688	0.0009375
0.00486	-0.17375	-424.6875	0.02139688	0.0003125
0.00487	-0.183125	-427.8125	0.02139688	0.000625
0.00488	-0.1834375	-429.6875	0.02139688	0.0003125
0.00489	-0.1859375	-431.5625	0.02139375	0.000625
0.0049	-0.180625	-426.5625	0.02139688	0.0003125
0.00491	-0.18	-428.125	0.02139688	0.0003125
0.00492	-0.193125	-440.625	0.02140313	0
0.00493	-0.209375	-451.25	0.02139375	0
0.00494	-0.203125	-444.375	0.02139063	0.000625
0.00495	-0.195	-440.3125	0.02139375	0.0003125
0.00496	-0.186875	-429.375	0.02140313	0.000625
